n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
3400;5778300;3390;12716888;1699;0;2888577;2888577;5770284;849;849;77327;36961;322025;22;10;63033;9353;284857;18;2;47870;20117;256240;14;5
3500;6123250;3485;13604147;1749;0;3066577;3066577;6232011;876;876;79864;38180;348771;22;10;63524;9691;308217;18;2;49356;20777;289455;14;5
3600;6478200;3586;14343972;1799;0;3246760;3246760;6484276;901;901;82443;39420;340108;22;10;66587;9969;302404;18;2;51013;21397;272311;14;5
3700;6843150;3685;15061751;1849;0;3419123;3419123;6913402;924;924;84931;40612;354166;22;10;68419;10318;319272;18;2;52715;22009;286233;14;5
3800;7218100;3787;15986337;1899;0;3609392;3609392;7374339;949;949;87463;41830;368168;23;11;70786;10629;322703;18;2;54125;22710;289749;14;5
3900;7603050;3889;16878099;1949;0;3800576;3800576;7681829;974;974;90060;43077;390990;23;11;73100;10923;352559;18;2;56486;23286;317050;14;5
4000;7998000;3988;17663515;1999;0;3998412;3998412;8059501;999;999;92619;44307;385034;23;11;75008;11245;344138;18;2;57269;23855;308023;14;5
4100;8402950;4088;18618775;2049;0;4227642;4227642;8439709;1031;1031;95236;45566;394921;23;11;77878;11525;350050;18;2;60437;24574;314836;14;5
4200;8817900;4187;19471593;2099;0;4400581;4400581;8823017;1047;1047;97844;46820;409230;23;11;79492;11792;365362;18;2;61227;25133;322969;14;5
4300;9242850;4288;20388418;2149;0;4653645;4653645;9593291;1082;1082;100567;48131;419723;23;11;80779;12184;367997;18;2;62673;25812;333879;14;6
4400;9677800;4389;21468751;2199;0;4843692;4843692;9742438;1100;1100;103142;49368;429944;23;11;83431;12465;377709;18;2;65146;26382;338383;14;5
4500;10122750;4489;22314054;2249;0;5083350;5083350;10278803;1129;1129;105800;50648;439906;23;11;86594;12774;408876;19;2;65370;27021;360470;14;6
4600;10577700;4588;23364518;2299;0;5288575;5288575;10760266;1149;1149;108491;51942;448367;23;11;88206;13110;398890;19;2;68564;27785;361561;14;6
4700;11042650;4689;24336918;2349;0;5526655;5526655;11085612;1175;1175;111152;53223;457366;23;11;91571;13376;403706;19;2;69551;28254;375215;14;6
4800;11517600;4783;25397815;2399;0;5738289;5738289;11493025;1195;1195;113798;54496;473312;23;11;91347;13791;412704;19;2;71043;29063;377709;14;6
4900;12002550;4887;26501654;2449;0;6013558;6013558;12071184;1227;1227;116527;55811;488881;23;11;94103;14090;423113;19;2;72058;29518;384708;14;6
5000;12497500;4987;27602206;2499;0;6261889;6261889;13296916;1252;1252;119257;57127;502197;23;11;97051;14393;453297;19;2;74428;30457;423669;14;6
